,states,actions,rewards1,rewards2,rewards3,rewards,nextStates,dones
1596,"[1.0, 0.0, 0.5833333333333334, 0.5, 0.0, 0.0, 0.2361111111111111, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0]",1.0,8.5,17.0,10.0,3.7638975207553966,"[0.0, 0.0, 0.2916666666666667, 0.5, 1.0, 0.0, 0.4722222222222222, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0]",0.0
1597,"[1.0, 0.0, 0.8935185185185186, 0.5, 0.0, 0.0, 0.2638888888888889, 0.0, 0.0, 0.0, 0.25, 0.5, 0.0, 0.0, 0.3194444444444444, 0.0]",1.0,9.5,21.5,11.0,1.8553353181848018,"[0.0, 0.0, 0.6111111111111112, 0.5, 1.0, 0.0, 0.5555555555555556, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.3194444444444444, 0.0]",0.0
1598,"[1.0, 0.0, 1.152777777777778, 0.5, 0.0, 0.0, 0.2777777777777778, 0.0, 0.0, 0.0, 0.3611111111111111, 0.0, 0.0, 0.0, 0.4722222222222222, 0.5]",2.0,6.0,15.5,14.0,6.296035333567056,"[0.0, 0.0, 0.75, 0.5, 0.0, 0.0, 0.2777777777777778, 0.0, 1.0, 0.0, 1.0092592592592593, 0.5, 0.0, 0.0, 0.3472222222222222, 0.0]",0.0
1599,"[0.0, 0.0, 0.2916666666666667, 0.5, 1.0, 0.0, 0.4722222222222222, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0]",0.0,4.0,13.5,12.5,10.531652549766878,"[0.0, 0.0, 0.2916666666666667, 0.0, 1.0, 0.0, 0.5972222222222222, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0]",0.0
1600,"[0.0, 0.0, 0.6111111111111112, 0.5, 1.0, 0.0, 0.5555555555555556, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.3194444444444444, 0.0]",0.0,4.0,16.5,15.0,7.160189199660606,"[0.0, 0.0, 0.3888888888888889, 0.0, 1.0, 0.0, 0.8333333333333334, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.3194444444444444, 0.0]",0.0
1601,"[0.0, 0.0, 0.75, 0.5, 0.0, 0.0, 0.2777777777777778, 0.0, 1.0, 0.0, 1.0092592592592593, 0.5, 0.0, 0.0, 0.3472222222222222, 0.0]",3.0,7.5,15.0,14.0,5.536175066910767,"[0.0, 0.0, 0.4583333333333333, 0.5, 0.0, 0.0, 0.2777777777777778, 0.0, 1.0, 0.0, 0.7222222222222222, 0.5, 0.0, 0.0, 0.3472222222222222, 0.0]",0.0
1602,"[0.0, 0.0, 0.2916666666666667, 0.0, 1.0, 0.0, 0.5972222222222222, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0]",0.0,11.5,24.0,12.5,1.0400743232680874,"[0.0, 0.0, 0.5185185185185185, 0.5, 0.0, 0.0, 0.2361111111111111, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.2361111111111111, 0.0]",0.0
1603,"[0.0, 0.0, 0.3888888888888889, 0.0, 1.0, 0.0, 0.8333333333333334, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.3194444444444444, 0.0]",0.0,14.5,28.5,15.0,0.3964006092152483,"[1.0, 0.0, 0.9074074074074076, 0.5, 1.0, 0.0, 0.5555555555555556, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.3194444444444444, 0.0]",0.0
1604,"[0.0, 0.0, 0.4583333333333333, 0.5, 0.0, 0.0, 0.2777777777777778, 0.0, 1.0, 0.0, 0.7222222222222222, 0.5, 0.0, 0.0, 0.3472222222222222, 0.0]",3.0,9.5,27.0,14.0,0.9145491140292928,"[0.0, 0.0, 0.4583333333333333, 0.0, 0.0, 0.0, 0.2777777777777778, 0.0, 0.0, 0.0, 0.3611111111111111, 0.5, 1.0, 0.0, 0.7222222222222222, 0.5]",0.0
1605,"[1.0, 0.0, 0.9074074074074076, 0.5, 1.0, 0.0, 0.5555555555555556, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.3194444444444444, 0.0]",2.0,6.0,12.5,11.0,9.26060118318198,"[1.0, 0.0, 0.3888888888888889, 1.0, 0.0, 0.0, 0.2777777777777778, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.3194444444444444, 0.0]",0.0
